User,Deposits (Ether),WithdrawLockedStake (Ether),WithdrawUnlockedStake (Ether),Total Withdrawn (Ether),Claimed Purse Rewards(Ether)
0x174e3695cf3EBc2Ff2508B2275FEe9BFb349070C,1496344,0,0,0,41454
0x38E9F6A8a8024b21B37a270D7dE362E7b9237bd0,1162032,874084,0,874084,0
0xA4095eabDe4C85a57d77b5Dc250ED908ec9EAB02,1028313,0,0,0,0
0x95b7e76d778A0F684768662D488D1670A6D547dA,3624439,0,0,0,73923
0xf7756F7611071B1B56a4C3616c45CB42F9f48D82,30000,0,0,0,0
0x0bdc3512961E766b2CDe8b79430746fDE3037139,2222,0,0,0,0
0xd1262592E36b6406207CC7e52Da9e066A4Cd39a4,89500,0,0,0,0
0x6B52719d66c3B62aFd3227721be26Fe9d4a00C3b,490,0,0,0,0
0x440d11c88467c309f3cd9609b42E30fAd9fCc8A5,100,0,0,0,0
0x4dFf15Af12edeE0EecA9719660DB05D52aE5bF46,1403236,0,0,0,32578
0x2F71e665380348130536Cc2FB242d029209b8020,1276066,0,0,0,29170
0x5DD5C14Aac86c6a4CfcBB3a54363B6945ABAA39B,810231,0,0,0,0
0xE781Ec732D401202Bb9Bd13860910dd6C29AC0b6,269326,0,0,0,0
0x38fE6e985A726BC7a8054269D99f2552788c4aa8,341,0,0,0,1
0xA99126D542464D300954b4eb60BB804B8330B43F,2786,0,0,0,0
0xDB17704b1dF2c6d2cd90BDB5b0b8B751dFb7b77e,20000,19999,0,19999,183
0x50A1896EE5D5C7c080cDbd47353bbEb9935CB7fA,127641,0,0,0,0
0x75A9F9d4fF67cbF0Bde69f7f49D8bc511272f19b,86826,0,0,0,0
0xa68Fe18e524bcFb3eD77c019ac513b87e327173D,50500,0,0,0,0
0x8e7C101a56f2405e2989AD86704c8DC838b5C1C0,6000,0,0,0,0
0x5a33cb706b80c4649dc0B4f8c4863Ea578fCB68d,7614,0,0,0,0
0x750B953D2493687eC139B5D3D3b6E91b58E34bF8,222303827,0,0,0,0
0xc7CFD7838e593e1bd2aeA39062961cC43B717774,1095864,0,0,0,0
0x77B9AF067884414e79945921f10B8d76a07C2866,26192,0,0,0,0
0xD2B9eA53fd81793A463c5F7B39Ac2Fb077c7f05d,1000317,0,0,0,0
0x68b36f4fe9964b94F121B4EE608B5A18c994e00e,17726,0,0,0,0
